			CSNAME.TXT

This file contains all unique control sequences used by TeX and the
pricipal macro packages in use at AMS:
		Plain:    primitives; plain.tex
\after			amstex.tex
\afterassignment	*primitive
\afterbook@false	amsppt.sty
\afterbook@true		amsppt.sty
\aftergroup		*primitive
\aleph			plain.tex
\align			amstex.tex
\align@ 		amstex.tex
\alignat		amstex.tex
\alignat@		amstex.tex
\aligned		amstex.tex
\aligned@		amstex.tex
\alignedat		amstex.tex
\alloc@			plain.tex (redefined in amstex.tex)
\alloc@true		amstex.tex
\allocationnumber	plain.tex
\alloclist@		amstex.tex
\allowbreak		plain.tex
\allowdisplaybreak@	amstex.tex
\allowlinebreak 	amstex.tex
\allowmathbreak 	amstex.tex
\alpha			plain.tex
\amalg			plain.tex
\ampersand@		amstex.tex
\amspptloaded@AmS	amsppt.sty
\AmSTeX			amstex.tex
\amstexloaded@		amstex.tex
\and			amstex.tex
\and@			amstex.tex
\angle			plain.tex
\ans@			amstex.tex
\Ans@			amstex.tex
\appendit@		amstex.tex
\approx			plain.tex
\arccos			plain.tex
\arcsin			plain.tex
\arctan			plain.tex
\arg			plain.tex
\arrowvert		plain.tex
\Arrowvert		plain.tex
\ast			plain.tex
\asymp			plain.tex
\at@			amstex.tex
\atcount@		amstex.tex
\atdef@			amstex.tex
\athelp@		amstex.tex
\athelpZ(csname)	amstex.tex
\atop			*primitive
\atopwithdelims		*primitive
\attag@			amstex.tex
\atZ(csname)		amstex.tex
\atZZ(csname)		amstex.tex
\atZZZ(csname)		amstex.tex
\atZZZZ(csname)		amstex.tex
\author			amsppt.sty
\author@true		amsppt.sty
\authorbox@		amsppt.sty
\b			plain.tex
\B			amstex.tex
\backslash		plain.tex
\badans@false		amstex.tex
\badans@true		amstex.tex
\bar			plain.tex
\Bar			amstex.tex
\baselineskip		*primitive
\batchmode		*primitive
\Bbb			amstex.tex
\Bbb@			amstex.tex
\Bbb@@			amstex.tex
\begingroup		*primitive
\beginsection		*primitive
\belowdisplayshortskip	*primitive
\belowdisplayskip	*primitive
\beta			plain.tex
\bf			plain.tex
\bffam			plain.tex
\bffam@			amstex.tex
\bgroup			plain.tex
\big			plain.tex
\Big			plain.tex
\bigaw@			amstex.tex
\bigbreak		plain.tex
\bigcap			plain.tex
\bigcap@		amstex.tex
\bigcirc		plain.tex
\bigcup			plain.tex
\bigcup@		amstex.tex
\bigg			plain.tex
\Bigg			plain.tex
\biggl			plain.tex
\Biggl			plain.tex
\biggm			plain.tex
\Biggm			plain.tex
\biggr			plain.tex
\Biggr			plain.tex
\bigl			plain.tex
\Bigl			plain.tex
\bigm			plain.tex
\Bigm			plain.tex
\bigodot		plain.tex
\bigodot@		amstex.tex
\bigoplus		plain.tex
\bigoplus@		amstex.tex
\bigotimes		plain.tex
\bigotimes@		amstex.tex
\bigpagebreak		amstex.tex
\bigr			plain.tex
\Bigr			plain.tex
\bigskip		plain.tex
\bigskipamount		plain.tex
\bigsqcup		plain.tex
\bigsqcup@		amstex.tex
\bigtriangledown	plain.tex
\bigtriangleup		plain.tex
\biguplus		plain.tex
\biguplus@		amstex.tex
\bigvee			plain.tex
\bigvee@		amstex.tex
\bigvspace		amstex.tex
\bigwedge		plain.tex
\bigwedge@		amstex.tex
\binom			amstex.tex
\binoppenalty		*primitive
\binrel@		amstex.tex
\binrel@@		amstex.tex
\black@ 		amstex.tex
\BlackBoxes		amstex.tex
\bmatrix		amstex.tex
\bmod			plain.tex
\body			plain.tex
\bold			amstex.tex
\bold@			amstex.tex
\bold@@			amstex.tex
\boldDelta		amstex.tex
\boldGamma		amstex.tex
\boldLambda		amstex.tex
\boldOmega		amstex.tex
\boldPhi		amstex.tex
\boldPi			amstex.tex
\boldPsi		amstex.tex
\boldSigma		amstex.tex
\boldTheta		amstex.tex
\boldUpsilon		amstex.tex
\boldXi			amstex.tex
\book			amsppt.sty
\book@false		amsppt.sty
\book@true		amsppt.sty
\bookbox@		amsppt.sty
\bookinfo		amsppt.sty
\bookinfo@false		amsppt.sty
\bookinfobox@		amsppt.sty
\bordermatrix		plain.tex
\bot			plain.tex
\bot@false		amstex.tex
\bot@true		amstex.tex
\botaligned		amstex.tex
\botfolded@false	amstex.tex
\botfolded@true 	amstex.tex
\botfoldedtext		amstex.tex
\botmark		*primitive
\botshave		amstex.tex
\botsmash		amstex.tex
\bowtie			plain.tex
\box			*primitive
\box255			*primitive (page contents)
\boxed			amstex.tex
\boxmaxdepth		*primitive
\brace			plain.tex
\braceld		plain.tex
\bracelu		plain.tex
\bracerd		plain.tex
\braceru		plain.tex
\bracevert		plain.tex
\brack			plain.tex
\break			plain.tex
\breve			plain.tex
\Breve			amstex.tex
\brokenpenalty		*primitive
\buffer			amstex.tex
\buffer@		amstex.tex
\buildrel		plain.tex
\bullet			plain.tex
\bunch			amstex.tex
\bunchtag		amstex.tex
\by			amsppt.sty
\by@false		amsppt.sty
\by@true		amsppt.sty
\bybox@ 		amsppt.sty
\bye			plain.tex
\bysame			amsppt.sty
\bysame@false		amsppt.sty
\bysame@true		amsppt.sty
\bysamebox@		amsppt.sty
\c			amstex.tex (center, in \matrix)
\c			plain.tex
\c@ncel			plain.tex
\cal			plain.tex (undefined in amstex.tex)
\Cal			amstex.tex
\Cal@			amstex.tex
\Cal@@			amstex.tex
\cap			plain.tex
\caption		amstex.tex
\captionwidth		amstex.tex
\captionwidth@		amstex.tex
\cases			plain.tex (redefined in amstex.tex)
\catcode		*primitive
\CD			amstex.tex
\CD@true		amstex.tex
\cdot			plain.tex
\cdotp			plain.tex
\cdots			plain.tex
\CenteredTagsOnSplits	amstex.tex
\centering		plain.tex
\centering@		amstex.tex
\centerline		plain.tex
\cfrac			amstex.tex
\cfraccount@		amstex.tex
\ch@ck			plain.tex
\ChangeBuffer		amstex.tex
\char			*primitive
\chardef		*primitive
\check			plain.tex
\Check			amstex.tex
\chi			plain.tex
\choose			plain.tex
\circ			plain.tex
\cite			amsppt.sty
\classnum@		amstex.tex
\cleaders		*primitive
\cleartabs		plain.tex
\closein		*primitive
\closeout		*primitive
\clubpenalty		*primitive
\clubsuit		plain.tex
\colon			plain.tex
\columns		plain.tex
\comment		amstex.tex
\comment@		amstex.tex
\comment@@		amstex.tex
\comment@@@		amstex.tex
\cong			plain.tex
\coprod			plain.tex
\coprod@		amstex.tex
\copy			plain.tex
\copyright		plain.tex
\cos			plain.tex
\cosh			plain.tex
\cot			plain.tex
\coth			plain.tex
\count			*primitive
\count@			plain.tex
\count0			plain.tex (page number, \pageno)
\countdef		*primitive
\countxviii@		amstex.tex
\cr			*primitive
\CR@			amstex.tex
\crcr			*primitive
\csc			plain.tex
\csname			*primitive
\ctagsplit@false	amstex.tex
\ctagsplit@true		amstex.tex
\cup			plain.tex
\d			plain.tex
\D			amstex.tex
\dag			plain.tex
\dagger			plain.tex
\dashv			plain.tex
\date			amsppt.sty
\date@			amsppt.sty
\date@true		amsppt.sty
\day			*primitive
\dbinom			amstex.tex
\ddag			plain.tex
\ddagger		plain.tex
\ddddot 		amstex.tex
\dddot			amstex.tex
\ddot			plain.tex
\Ddot			amstex.tex
\ddots			plain.tex
\deadcycles		*primitive
\def			*primitive (use discouraged by amstex.tex; see \define)
\defahelp@		amstex.tex
\defaulthelp@		amstex.tex
\defaulthyphenchar	*primitive
\defaultskewchar	*primitive
\defbhelp@		amstex.tex
\define			amstex.tex
\define@		amstex.tex
\define@@		amstex.tex
\deg			plain.tex
\delcode		*primitive
\delimiter		*primitive
\delimiterfactor	*primitive
\delimitershortfall	*primitive
\delta			plain.tex
\Delta			plain.tex
\demo			amsppt.sty
\demo@			amsppt.sty
\demonp			% amsppt.sty
\det			plain.tex
\dfrac			amstex.tex
\diamond		plain.tex
\diamondsuit		plain.tex
\dim			plain.tex
\dimen			*primitive
\dimen@			plain.tex
\dimen@i		plain.tex
\dimen@ii		plain.tex
\dimendef		*primitive
\dimentomu@		amstex.tex
\disabletabs		amstex.tex
\DisableTabs		amstex.tex
\discretionary		*primitive
\displ@y		plain.tex
\displ@y@		amstex.tex
\displaybreak		amstex.tex
\displaybreak@		amstex.tex
\displayindent		*primitive
\displaylimits		*primitive
\displaylines		plain.tex
\displaystyle		*primitive
\displaywidowpenalty	*primitive
\displaywidth		*primitive
\displaywidth@		amstex.tex
\div			plain.tex
\divide			*primitive
\dlsl@			amstex.tex
\dmatherr@		amstex.tex
\do			plain.tex
\doat@			amstex.tex
\document		amstex.tex   % amsppt.sty
\documentstyle		amstex.tex
\dodummy@		amstex.tex
\dospecials		plain.tex
\dosupereject		plain.tex
\dot			plain.tex
\Dot			amstex.tex
\doteq			plain.tex
\dotfill		plain.tex
\dots			plain.tex
\DOTS@			amstex.tex
\DOTS@@ 		amstex.tex
\DOTS@false		amstex.tex
\DOTS@true		amstex.tex
\dotsb			amstex.tex
\DOTSB			amstex.tex
\dotsb@ 		amstex.tex
\dotsc			amstex.tex
\DOTSCASE@		amstex.tex
\dotsi			amstex.tex
\DOTSI			amstex.tex
\dotsm			amstex.tex
\dotso@			amstex.tex
\dotsspace@		amstex.tex
\DOTSX			amstex.tex
\doublehyphendemerits	*primitive
\downarrow		plain.tex
\Downarrow		plain.tex
\downbracefill		plain.tex
\dp			*primitive
\drsr@			amstex.tex
\dsize			amstex.tex
\dt@pfalse		plain.tex
\dt@ptrue		plain.tex
\dummyft@		amstex.tex
\dump			*primitive
\eat@			amstex.tex
\edef			*primitive
\egroup			plain.tex
\eightbf		amsppt.sty
\eightbig@		amsppt.sty
\eighti			amsppt.sty
\eightit		amsppt.sty
\eightpoint		amsppt.sty
\eightrm		amsppt.sty
\eightsl		amsppt.sty
\eightsy		amsppt.sty
\eject			plain.tex
\ell			plain.tex
\else			*primitive
\empty			plain.tex
\emptyset		plain.tex
\enabletabs		amstex.tex
\EnableTabs		amstex.tex
\enabletabs@		amstex.tex
\end			*primitive
\endalign		amstex.tex
\endalignat		amstex.tex
\endaligned		amstex.tex
\endalignedat		amstex.tex
\endauthor		amsppt.sty
\endbmatrix		amstex.tex
\endbotaligned		amstex.tex
\endcases		amstex.tex
\endCD			amstex.tex
\endcfrac		amstex.tex
\endcomment		amstex.tex
\endcsname		*primitive
\enddemo		amsppt.sty
\enddocument		amstex.tex
\endgather		amstex.tex
\endgathered		amstex.tex
\endgraf		plain.tex
\endgroup		*primitive
\endheading		amsppt.sty
\endinput		*primitive
\endinsert		plain.tex
\endline		plain.tex
\endlinechar		*primitive
\endmatrix		amstex.tex
\endmultline		amstex.tex
\endpmatrix		amstex.tex
\endproclaim		amsppt.sty
\endref			amsppt.sty
\endref@		amsppt.sty
\endroster		amsppt.sty
\endSb			amstex.tex
\endsmallmatrix		amstex.tex
\endSp			amstex.tex
\endsplit		amstex.tex
\endtitle		amsppt.sty
\endtopaligned		amstex.tex
\endtopmatter		amsppt.sty
\endvmatrix		amstex.tex
\endVmatrix		amstex.tex
\endxalignat		amstex.tex
\endxxalignat		amstex.tex
\enskip			plain.tex
\enspace		plain.tex
\epsilon		plain.tex
\eqalign		plain.tex
\eqalignno		plain.tex
\eqno			*primitive
\equiv			plain.tex
\err@			amstex.tex
\Err@			amstex.tex
\errhelp		*primitive
\errmessage		*primitive
\errorstopmode		*primitive
\errZ(csname)		amstex.tex
\escapechar		*primitive
\eta			plain.tex
\everycr		*primitive
\everydisplay		*primitive
\everyhbox		*primitive
\everyjob		*primitive
\everymath		*primitive
\everypar		*primitive
\everypartoks@		amsppt.sty
\everyvbox		*primitive
\ex@			amstex.tex
\exhyphenpenalty	*primitive
\exists			plain.tex
\exp			plain.tex
\expandafter		*primitive
\extra@			amstex.tex
\extra@false		amstex.tex
\extra@true		amstex.tex
\extrap@		amstex.tex
\f@@t			plain.tex
\f@t			plain.tex
\fam			*primitive
\familycount@		amstex.tex
\fi			*primitive
\filbreak		*primitive
\filhss@		amsppt.sty
\finalhyphendemerits	*primitive
\finalinfo		amsppt.sty
\finalinfo@false	amsppt.sty
\finalinfobox@		amsppt.sty
\findlimits@		amstex.tex
\finph@nt		plain.tex
\finsm@sh		plain.tex (redefined in amstex.tex)
\firstitem@false	amsppt.sty
\firstitem@true		amsppt.sty
\firstmark		*primitive
\firstref@false		amsppt.sty
\firstref@true		amsppt.sty
\fivebf			plain.tex
\fivei			plain.tex
\fivemsx		amstex.tex (depends on font availability)
\fivemsy		amstex.tex (depends on font availability)
\fiverm			plain.tex
\fivesy			plain.tex
\flat			plain.tex
\floatingpenalty	*primitive
\flushpar		amstex.tex
\fmtname		plain.tex
\Fmtname		amstex.tex
\fmtversion		plain.tex
\Fmtversion		amstex.tex
\fo@t			plain.tex
\foldedtext		amstex.tex
\foldedtext@		amstex.tex
\foldedwidth		amstex.tex
\folio			plain.tex
\font			*primitive
\font@			amsppt.sty
\fontdimen		*primitive
\fontlist@		amstex.tex
\fontname		*primitive
\footins		plain.tex
\footline		plain.tex
\footmarkcount@ 	amstex.tex
\footmarkcount@@	amstex.tex
\footmarkform@		amsppt.sty
\footnote		plain.tex (undefined in amstex.tex)
\footnote		 (redefined in amsppt.sty)
\footnotemark		amsppt.sty
\footnoterule		plain.tex (redefined in amsppt.sty)
\footnotetext		amsppt.sty
\footstrut		plain.tex
\for			amstex.tex
\forall			plain.tex
\format			amstex.tex
\format@		amstex.tex
\frac			amstex.tex
\fracwithdelims		amstex.tex
\frenchspacing		plain.tex
\frown			plain.tex
\futurelet		*primitive
\futureletnextat@	amstex.tex
\futureletnextatZ(csname)	amstex.tex
\G@			amstex.tex
\galign@		amstex.tex
\galleys		amstex.tex
\galleys@true		amstex.tex
\gamma			plain.tex
\Gamma			plain.tex
\garbage@		amstex.tex
\gather 		amstex.tex
\gathered		amstex.tex
\gcd			plain.tex
\gdef			*primitive
\gdef@			amstex.tex
\gdisplaywidth@ 	amstex.tex
\ge			plain.tex
\geq			plain.tex
\getmathch@		amstex.tex
\getpoints@		amstex.tex
\gets			plain.tex
\gg			plain.tex
\glineht@		amstex.tex
\global			*primitive
\globaldefs		*primitive
\gloop@			amstex.tex
\gmaxwidth@		amstex.tex
\gmeasure@		amstex.tex
\goodbreak		plain.tex
\grave			plain.tex
\Grave			amstex.tex
\graveaccent		amstex.tex
\gwidth@		amstex.tex
\H			plain.tex
\h@false		plain.tex
\h@true			plain.tex
\halign			*primitive
\hang			plain.tex
\hangafter		*primitive
\hangindent		*primitive
\hashtoks@		amstex.tex
\haswidth		amstex.tex
\hat			plain.tex
\Hat			amstex.tex
\hataccent		amstex.tex
\hbadness		*primitive
\hbar			plain.tex
\hbox			*primitive
\hcorrection		amstex.tex
\hdots			amstex.tex
\hdotsfor		amstex.tex
\heading		amsppt.sty
\headingbox@		amsppt.sty
\headline		plain.tex
\heartsuit		plain.tex
\hexnumber@		amstex.tex
\hfil			*primitive
\hfill			*primitive
\hfilneg		*primitive
\hfuzz			*primitive
\hgl@			plain.tex
\hglue			plain.tex
\hideskip		plain.tex
\hidewidth		plain.tex
\hoffset		*primitive
\hom			plain.tex
\hookleftarrow		plain.tex
\hookrightarrow		plain.tex
\hphantom		plain.tex
\hrule			*primitive
\hrulefill		plain.tex
\hsize			*primitive
\hskip			*primitive
\hss			*primitive
\ht			*primitive
\hyphenation		*primitive
\hyphenchar		*primitive
\hyphenpenalty		*primitive
\i			plain.tex
\ialign			plain.tex
\ic@			amstex.tex
\idotsint		amstex.tex
\if			*primitive
\if@			plain.tex
\if@cr			plain.tex
\if@mid			plain.tex
\ifabstract@		amsppt.sty
\ifaffil@		amsppt.sty
\ifafterbook@		amsppt.sty
\ifalloc@		amstex.tex
\ifauthor@		amsppt.sty
\ifbadans@		amstex.tex
\ifbook@		amsppt.sty
\ifbookinfo@		amsppt.sty
\ifbot@			amstex.tex
\ifbotfolded@		amstex.tex
\ifby@			amsppt.sty
\ifbysame@		amsppt.sty
\ifcase			*primitive
\ifcat			*primitive
\ifCD@			amstex.tex
\ifctagsplit@		amstex.tex
\ifdate@		amsppt.sty
\ifdim			*primitive
\ifDOTS@		amstex.tex
\ifdt@p			plain.tex
\ifeof			*primitive
\ifextra@		amstex.tex
\iff			plain.tex
\iffalse		*primitive
\iffinalinfo@		amsppt.sty
\iffirstitem@		amsppt.sty
\iffirstref@		amsppt.sty
\ifgalleys@		amstex.tex
\ifh@			plain.tex
\ifhbox			*primitive
\ifhmode		*primitive
\ifin@			amstex.tex
\ifinalign@		amstex.tex
\ifinany@		amstex.tex
\ifinbook@		amsppt.sty
\ifingather@		amstex.tex
\ifinner		*primitive
\ifissue@		amsppt.sty
\ifjour@		amsppt.sty
\ifkey@			amsppt.sty
\ifkeybin@		amstex.tex
\iflastref@		amsppt.sty
\iflimits@		amstex.tex
\iflimtoken@		amstex.tex
\iflogo@		amsppt.sty
\ifmacro@		amstex.tex
\ifmanyby@		amsppt.sty
\ifmath@		amstex.tex
\ifmathbin@		amstex.tex
\ifmathch@		amstex.tex
\ifmathrel@		amstex.tex
\ifmathtags@		amstex.tex
\ifmeasuring@		amstex.tex
\ifmid@			amstex.tex
\ifmmode		*primitive
\ifnextRunin@		amsppt.sty
\ifno@			amsppt.sty
\ifnofrills@		amsppt.sty
\ifnojourinfo@		amsppt.sty
\ifnot@			amstex.tex
\ifnum			*primitive
\ifodd			*primitive
\ifonecr@		amstex.tex
\ifp@ge			plain.tex
\ifpage@		amsppt.sty
\ifpages@		amsppt.sty
\ifpaper@		amsppt.sty
\ifpaperinfo@		amsppt.sty
\ifprevbook@		amsppt.sty
\ifprevinbook@		amsppt.sty
\ifprevjour@		amsppt.sty
\ifproclaim@		amsppt.sty
\ifpubl@		amsppt.sty
\ifpubladdr@		amsppt.sty
\ifr@ggedbottom		plain.tex
\ifrightdelim@		amstex.tex
\ifsyntax@		amstex.tex
\iftagin@		amstex.tex
\iftagsleft@		amstex.tex
\ifthanks@		amsppt.sty
\iftoappear@		amsppt.sty
\iftop@			amstex.tex
\iftopfolded@		amstex.tex
\iftrue			*primitive
\ifus@			plain.tex
\ifv@			plain.tex
\ifvbox			*primitive
\ifvmode		*primitive
\ifvoid			*primitive
\ifvol@			amsppt.sty
\ifx			*primitive
\ifxat@			amstex.tex
\ifyr@			amsppt.sty
\ifzerocr@		amstex.tex
\ignorespaces		*primitive
\iiiint			amstex.tex
\iiint			amstex.tex
\iint			amstex.tex
\ilimits@		amstex.tex
\Im			plain.tex
\imath			plain.tex
\immediate		*primitive
\impliedby		amstex.tex
\implies		amstex.tex
\in			plain.tex
\in@			amstex.tex
\in@@			amstex.tex
\in@false		amstex.tex
\in@true		amstex.tex
\inaccessible		not a defined \cs; occurs only in error messages
\inalign@true		amstex.tex
\inany@true		amstex.tex
\inbook			amsppt.sty
\inbook@false		amsppt.sty
\inbook@true		amsppt.sty
\indent			*primitive
\inf			plain.tex
\infty			plain.tex
\ingather@true		amstex.tex
\injlim			amstex.tex
\innerendproclaim@	amsppt.sty
\innerhdotsfor		amstex.tex
\innerproclaim@		amsppt.sty
\input			*primitive
\ins@			amstex.tex
\insc@unt		plain.tex
\insert			*primitive
\insertpenalties	*primitive
\insplit@		amstex.tex
\int			plain.tex
\intdots@		amstex.tex
\interdisplaylinepenalty	plain.tex
\interfootnotelinepenalty	plain.tex
\interlinepenalty	*primitive
\intertext		amstex.tex
\intertext@		amstex.tex
\intic@			amstex.tex
\intii			amstex.tex
\intiii			amstex.tex
\intiv			amstex.tex
\intkern@		amstex.tex
\intno@			amstex.tex
\intop			plain.tex
\ints@			amstex.tex
\ints@@			amstex.tex
\ints@@@		amstex.tex
\Invalid@		amstex.tex
\iota			plain.tex
\issue			amsppt.sty
\issue@false		amsppt.sty
\issuebox@		amsppt.sty
\it			plain.tex
\italic			amstex.tex
\italic@		amstex.tex
\italic@@		amstex.tex
\item			plain.tex
\item@			amsppt.sty
\itemitem		plain.tex
\iterate		plain.tex
\itfam			plain.tex
\j			plain.tex
\jmath			plain.tex
\jobname		*primitive
\joinrel		plain.tex
\jot			plain.tex
\jour			amsppt.sty
\jour@false		amsppt.sty
\jour@true		amsppt.sty
\jourbox@		amsppt.sty
\kappa			plain.tex
\ker			plain.tex
\kern			*primitive
\key			amsppt.sty
\key@false		amsppt.sty
\keybin@		amstex.tex
\keybin@false		amstex.tex
\keybin@true		amstex.tex
\keybox@		amsppt.sty
\keywords		amsppt.sty
\keywords@		amsppt.sty
\l			amstex.tex (left, in \matrix)
\l			plain.tex
\L			plain.tex
\lalign@		amstex.tex
\lambda			plain.tex
\Lambda			plain.tex
\land			plain.tex
\langle			plain.tex
\lastbox		*primitive
\lastkern		*primitive
\lastpenalty		*primitive
\lastref@false		amsppt.sty
\lastref@true		amsppt.sty
\lastskip		*primitive
\lbrace			plain.tex
\lbrace@		amstex.tex
\lbrack			plain.tex
\lccode			*primitive
\lceil			plain.tex
\lcfrac			amstex.tex
\ldelim@		amstex.tex
\ldotp			plain.tex
\ldots			plain.tex
\le			plain.tex
\leaders		*primitive
\leavevmode		plain.tex
\left			*primitive
\leftarrow		plain.tex
\Leftarrow		plain.tex
\leftarrowfill		plain.tex
\leftharpoondown	plain.tex
\leftharpoonup		plain.tex
\leftline		plain.tex
\leftrightarrow		plain.tex
\Leftrightarrow		plain.tex
\leftroot		amstex.tex
\leftroot@		amstex.tex
\leftskip		*primitive
\leftskip@		amsppt.sty
\lendmultline@		amstex.tex
\lendsplit@		amstex.tex
\leq			plain.tex
\leqalignno		plain.tex
\leqno			*primitive
\less			amstex.tex
\let			*primitive
\Let@			amstex.tex
\lfloor			plain.tex
\lg			plain.tex
\lgather@		amstex.tex
\lgroup			plain.tex
\lhook			plain.tex
\lim			plain.tex
\liminf			plain.tex
\limits			*primitive
\limits@false		amstex.tex
\limits@true		amstex.tex
\LimitsOnInts		amstex.tex
\LimitsOnNames		amstex.tex
\LimitsOnSums		amstex.tex
\limsup			plain.tex
\limtoken@false		amstex.tex
\limtoken@true		amstex.tex
\line			plain.tex
\linebreak		amstex.tex
\lineht@		amstex.tex
\linepenalty		*primitive
\lineskip		*primitive
\lineskiplimit		*primitive
\ll			plain.tex
\llap			plain.tex
\llap@			amstex.tex
\lmmeasure@		amstex.tex
\lmoustache		plain.tex
\lmultline@		amstex.tex
\lmultline@@		amstex.tex
\lmultline@@@		amstex.tex
\ln			plain.tex
\lnot			plain.tex
\log			plain.tex
\logo@false		amsppt.sty
\logo@true		amsppt.sty
\long			*primitive
\longleftarrow		plain.tex
\Longleftarrow		plain.tex
\longleftrightarrow	plain.tex
\Longleftrightarrow	plain.tex
\longmapsto		plain.tex
\Longrightarrow		plain.tex
\longrightarrow		plain.tex
\loop			plain.tex
\looseness		*primitive
\lor			plain.tex
\lower			*primitive
\lowercase		*primitive
\lq			plain.tex
\ltwidth@		amstex.tex
\lwidth@		amstex.tex
\m@g			plain.tex
\m@ketabbox		plain.tex
\m@ne			plain.tex
\m@th			plain.tex
\macro@			amstex.tex
\macro@@		amstex.tex
\macro@false		amstex.tex
\macro@true		amstex.tex
\mag			*primitive
\magnification		plain.tex
\magstep		plain.tex
\magstephalf		plain.tex
\makeacc@		amstex.tex
\Makeacc@		amstex.tex
\makefootline		plain.tex
\makefootnote@		amsppt.sty
\makeheadline		plain.tex
\makeph@nt		plain.tex
\makesm@sh		plain.tex (redefined in amstex.tex)
\maketag@		amstex.tex
\Maketag@		amstex.tex
\manyby			amsppt.sty
\manyby@false		amsppt.sty
\manyby@true		amsppt.sty
\mapsto			plain.tex
\mapstochar		plain.tex
\mark			*primitive
\math@			amstex.tex
\math@false		amstex.tex
\math@true		amstex.tex
\mathaccent		*primitive
\mathaccent@		amstex.tex
\mathbin		*primitive
\mathbin@		amstex.tex
\mathbin@false		amstex.tex
\mathbin@true		amstex.tex
\mathbreak		amstex.tex
\mathch@		amstex.tex
\mathch@false		amstex.tex
\mathch@true		amstex.tex
\mathchar		*primitive
\mathchardef		*primitive
\mathchoice		*primitive
\mathclose		*primitive
\mathcode		*primitive
\mathhexbox		plain.tex
\mathinner		*primitive
\mathmodeerr@		amstex.tex
\mathop			*primitive
\mathopen		*primitive
\mathord		*primitive
\mathpalette		plain.tex
\mathph@nt		plain.tex
\mathpunct		*primitive
\mathrel		*primitive
\mathrel@		amstex.tex
\mathrel@false		amstex.tex
\mathrel@true		amstex.tex
\mathsm@sh		plain.tex (redefined in amstex.tex)
\mathstrut		plain.tex
\Mathstrut@		amstex.tex
\Mathstrut@noalign	amstex.tex
\mathsurround		*primitive
\mathtags@false		amstex.tex
\mathtags@true		amstex.tex
\matrix			plain.tex (redefined in amstex.tex)
\max			plain.tex
\maxbysamerule@		amsppt.sty
\maxdeadcycles		*primitive
\maxdepth		*primitive
\maxdimen		plain.tex
\maxlwidth@		amstex.tex
\maxrwidth@		amstex.tex
\mdots@			amstex.tex
\mdots@@		amstex.tex
\meaning		*primitive
\meaning@		amstex.tex
\meaning@@		amstex.tex
\measure@		amstex.tex
\measuring@false	amstex.tex
\measuring@true 	amstex.tex
\medbreak		plain.tex
\medmuskip		*primitive
\medpagebreak		amstex.tex
\medskip		plain.tex
\medskipamount		plain.tex
\medspace		amstex.tex
\message		*primitive
\mid			plain.tex (symbol)
\mid@false		amstex.tex
\mid@true		amstex.tex
\midinsert		plain.tex
\midspace		amstex.tex
\min			plain.tex
\minaw@			amstex.tex
\minCDarrowwidth	amstex.tex
\minCDaw@		amstex.tex
\mit			plain.tex (undefined in amstex.tex)
\mkern			*primitive
